Wavenumber	Control30_1	Control30_2	Control30_3	Control30_4	Control30_5	Control30_6	Control30_7	Control30_8	Control30_9	Control30_10	Control30_11	Control30_12	Control30_13	BacVan30 Amid_1	BacVan30 Amid_2	BacVan30 Amid_3	BacVan30 Amid_4	BacVan30 Amid_5	BacVan30 Amid_6	BacVan30 Amid_7	BacVan30 Amid_8	BacVan30 Amid_9	BacVan30 Amid_10	BacVan30 Amid_11	BacVan30 Amid_12	BacVan30 Amid_13	BacVan30 Amid_14	BacVan30 Amid_15	BacVan30 Amid_16	BacVan30 Amid_17	BacVan30 Amid_18	BacVan30 Amid_19	BacVan30 Amid_20	BacVan30 Amid_21	BacVan30 Amid_22	BacVan30 Amid_23	BacVan30 Amid_24	BacVan30 Amid_25	BacVan30 Amid_26	BacVan30 Amid_27	BacVan30 Amid_28	BacVan30 Amid_29	BacVan30 Amid_30	BacVan30 Amid_31	BacVan30 Amid_32	BacVan30 Zucker_1	BacVan30 Zucker_2	BacVan30 Zucker_3	BacVan30 Zucker_5	BacVan30 Zucker_6	BacVan30 Zucker_7	BacVan30 Zucker_8	BacVan30 Zucker_9	BacVan30 Zucker_10	BacVan30 Zucker_11	BacVan30 Zucker_12	BacVan30 Zucker_13	BacVan30 Zucker_14	BacVan30 Zucker_15	BacVan30 Zucker_16	BacVan30 Zucker_17	BacVan30 Zucker_18	BacVan30 Zucker_19	BacVan30 Zucker_20
770	1.267211473	1.157420538	1.045071294	1.317340059	1.230253328	1.071331513	1.297194726	1.234615119	1.234388262	1.367681565	1.333192413	1.289986008	1.16422833	0.908038	0.830686	0.710498	0.728246	0.835389	0.940811	0.900094	0.815491	0.751462	0.972647	0.801410	0.658778	0.832614	0.817533	0.744891	0.847239	0.687768	0.785672	0.971628	0.763030	0.839334	0.785457	0.923110	1.022006	0.849180	0.836507	0.774665	0.907603	0.927902	0.873629	0.851305	0.840058	0.751460	0.712447	0.853620	0.720724	0.679320	0.844226	0.996441	0.771753	0.781420	0.849887	1.017876	0.782332	0.789682	0.779344	0.753387	0.848230	0.855211	0.772278	0.924060
771	1.035396925	1.160619993	1.15555658	1.045043222	1.035660252	1.199481645	1.05678707	1.224117472	1.087904552	1.401939204	1.126443328	1.249808609	1.074356111	0.868624	0.950555	1.053471	0.946098	1.037292	0.996401	0.994725	0.956212	0.785915	1.009307	0.778864	0.889825	0.881811	0.825567	1.025575	0.917693	0.768319	0.922322	0.779575	0.957766	0.929333	0.920995	0.956852	0.948383	0.808409	0.845201	0.960513	0.908989	0.899093	0.925249	0.842159	1.104448	0.879636	0.873682	0.964328	0.873788	0.792447	0.831729	0.933551	0.757547	0.892928	0.859650	1.009419	0.943926	0.977412	0.986446	1.117064	0.768588	0.905743	0.987476	1.160267
772	1.345775039	1.048839029	1.535641637	1.4228362	1.51781191	1.173743747	1.365737441	1.414282536	1.302020961	1.173484025	1.289682094	1.471986288	1.23050241	0.960568	0.929245	1.092327	0.965537	0.964978	1.015549	0.952165	1.057795	0.784998	1.122453	0.817850	0.878686	0.921748	0.814548	0.807683	0.926807	0.777389	0.981327	1.110895	0.916788	0.948428	0.959487	1.059620	1.070833	0.908399	0.976441	0.819481	0.991416	1.075563	0.903858	0.890657	0.909085	0.909988	0.942078	1.113703	0.772450	0.791522	0.903450	1.003409	0.896048	1.044159	0.858646	1.047395	0.869494	0.976271	0.834484	0.881982	0.937181	1.087656	0.886695	1.068215
773	1.440960814	1.305239323	1.496598506	1.019703999	1.166627309	1.413247378	1.467268935	1.486780857	1.252520373	1.411562081	1.309262889	1.363656245	1.332069726	0.902341	1.140185	0.934513	0.826781	1.066873	0.887210	0.873692	0.866958	0.877848	1.152812	0.753852	0.931918	0.904790	0.858788	0.928183	0.949744	0.851135	0.904296	0.957972	0.870575	0.901266	0.796190	1.172690	1.081453	0.931317	0.858635	0.931931	0.983420	0.902021	1.006854	0.961698	0.962545	0.749506	0.768999	1.073516	0.787780	0.674728	1.009149	1.014795	0.801379	0.918183	0.912260	1.076168	0.884346	0.928671	0.977036	1.168247	0.910152	0.758327	0.968177	1.018885
774	1.326623367	1.219171191	1.316593091	1.349645607	1.333781218	1.338541707	1.510698422	1.75961433	1.339767744	1.507981538	1.368596896	1.628083487	1.523549851	0.873419	0.797806	0.866054	0.944958	0.972225	0.877647	1.038686	0.973420	0.867971	1.062364	0.843407	0.957306	0.761370	0.784959	1.052594	0.918027	0.852055	0.790938	0.955126	0.972313	0.975092	1.038680	0.946045	0.937671	0.937929	0.982978	0.817228	0.921281	0.980068	1.113597	0.781669	0.873249	0.816454	1.068950	0.969652	0.820349	0.832308	0.868487	0.979518	0.758645	0.909649	0.807290	0.964203	0.856657	0.925912	0.850193	1.017079	1.046912	0.887915	0.861000	1.133115
775	1.403282263	1.323978941	1.294317686	1.288902232	1.298859553	1.278298009	1.364722359	1.239806609	1.748458464	1.363890824	1.306502835	1.253168674	1.468969779	0.970318	1.042725	1.096629	1.113418	1.090573	1.037919	1.153920	1.102618	0.974524	1.330435	0.751641	1.105218	0.993860	0.861663	1.301561	1.146046	0.936295	1.250836	1.103962	1.039034	1.010359	1.123279	1.051002	1.105476	0.916947	1.050031	1.114233	1.034264	1.185821	1.058910	1.052284	1.286476	0.961024	1.167067	1.419040	0.797440	1.096673	1.189968	1.276528	1.017540	0.887054	0.896853	1.182334	0.897623	0.883172	1.193618	1.129916	0.977793	1.101855	0.874240	0.988334
776	1.362239206	1.49895949	1.507648915	1.30037392	1.410676857	1.582783402	1.451970748	1.369341991	1.281966543	1.31324718	1.507942061	1.37151751	1.560991836	1.219297	1.117163	1.321566	1.114250	1.339543	1.058444	1.364857	1.179585	1.204723	1.547439	1.166793	0.988197	1.012963	1.112259	1.236090	1.158971	1.070548	1.256639	1.313946	1.303548	1.319844	1.209780	1.480457	1.105989	1.373995	1.341336	1.179747	1.043281	1.421510	1.036865	1.115617	1.042862	1.190259	1.075733	1.163092	0.906859	1.129772	1.336323	1.271938	1.164723	1.052635	0.923921	1.270070	1.125255	1.145311	1.229642	1.423945	1.410225	1.189163	1.366832	1.286101
777	1.590529773	1.281040849	1.660395548	1.481489727	1.468650794	1.600488674	1.736707332	1.546134507	1.462291009	1.441972644	1.57573355	1.661352877	1.320301749	1.147812	1.102759	1.182040	0.881139	1.138708	1.128564	1.119871	1.041162	0.842716	1.215756	1.088927	1.260216	0.918498	0.931270	1.104194	1.002743	1.010410	1.073744	1.042431	0.942265	0.993387	1.108883	1.235464	1.073972	1.239725	0.932015	0.886516	1.007136	1.241879	1.039489	0.848929	1.025586	0.999225	1.131019	1.359509	0.801889	0.842652	1.154012	0.997895	0.931710	0.763394	0.886254	1.240483	0.847592	0.941869	1.097687	1.160166	1.069077	1.119713	1.068311	1.227957
778	1.529536968	1.392638839	1.81035393	1.421169111	1.501996188	1.553034482	1.699832652	1.676683373	1.717938291	1.598434929	1.706282034	1.694753964	1.559725676	0.963759	1.151902	1.199548	0.939076	1.033964	1.225177	1.014485	1.151858	0.945912	1.106906	0.996446	1.009040	0.984595	0.957284	1.197580	1.065513	1.033295	1.208051	1.223171	1.042538	1.141157	1.034852	1.282653	1.048094	1.113032	1.380464	1.177396	1.072128	1.053102	1.005049	0.876766	1.087879	0.877394	1.158972	1.323922	0.898238	0.853998	1.096203	1.136783	0.975910	1.025141	0.914017	1.051767	0.898499	1.100384	1.260316	0.971496	1.033657	1.140099	1.089256	1.035302
779	2.154997216	1.494902917	1.831620136	1.74228677	1.751400693	1.86294875	1.772715845	1.834692708	1.934671896	1.865394591	1.693227919	1.926906289	1.839815979	1.037573	1.297579	1.122856	1.150904	1.452096	1.147695	1.139644	1.101101	1.046183	1.174547	0.982653	0.995072	1.009043	1.000481	1.151204	1.023107	1.241862	1.218703	1.073033	1.318686	1.247459	1.299410	1.354639	1.074119	1.121171	1.031582	1.206632	1.128991	1.048992	1.147719	1.080156	1.026095	0.990108	1.034492	1.395561	1.075580	1.106578	1.203666	1.253120	1.105927	1.050595	1.112347	1.229165	0.971403	1.127707	1.097383	1.118788	1.232666	1.256775	1.193290	1.099945
